dates,RMSE
2/24 9:00,16.432357788085938
2/24 10:00,41.0299072265625
2/24 11:00,27.395721435546875
2/24 12:00,14.77301025390625
2/24 13:00,11.722160339355469
2/24 14:00,4.764915466308594
2/24 15:00,10.6405029296875
2/24 16:00,10.642784118652344
2/24 17:00,10.571517944335938
2/24 18:00,13.838851928710938
2/24 19:00,19.36831283569336
2/24 20:00,17.103107452392578
2/24 21:00,15.352653503417969
2/24 22:00,8.033313751220703
2/24 23:00,17.71839141845703
2/25 0:00,32.528663635253906
2/25 1:00,84.80656433105469
2/25 2:00,88.37016296386719
2/25 3:00,38.498992919921875
2/25 4:00,43.66322326660156
2/25 5:00,50.333831787109375
2/25 6:00,41.65191650390625
2/25 7:00,59.90972900390625
2/25 8:00,62.5279541015625
2/25 9:00,44.773101806640625
2/25 10:00,6.7061767578125
2/25 11:00,4.1555633544921875
2/25 12:00,11.820365905761719
2/25 13:00,8.844314575195312
2/25 14:00,3.764984130859375
2/25 15:00,5.642333984375
2/25 16:00,4.388481140136719
2/25 17:00,5.6479339599609375
2/25 18:00,10.211715698242188
2/25 19:00,18.01158905029297
2/25 20:00,18.470428466796875
2/25 21:00,13.805274963378906
2/25 22:00,7.543270111083984
2/25 23:00,21.346290588378906
2/26 0:00,21.349594116210938
2/26 1:00,79.55377960205078
2/26 2:00,104.72674560546875
2/26 3:00,29.266326904296875
2/26 4:00,29.7413330078125
2/26 5:00,16.62799072265625
2/26 6:00,29.714691162109375
2/26 7:00,40.2088623046875
2/26 8:00,65.14785766601562
2/26 9:00,38.95265197753906
2/26 10:00,3.64178466796875
2/26 11:00,14.819580078125
2/26 12:00,17.60999298095703
2/26 13:00,0.6462554931640625
2/26 14:00,2.9772415161132812
2/26 15:00,9.052864074707031
2/26 16:00,1.0130386352539062
2/26 17:00,0.831573486328125
2/26 18:00,2.0473060607910156
2/26 19:00,11.698493957519531
2/26 20:00,12.197723388671875
2/26 21:00,9.602680206298828
2/26 22:00,0.154144287109375
2/26 23:00,12.783042907714844
2/27 0:00,5.149803161621094
2/27 1:00,56.314910888671875
2/27 2:00,76.68917846679688
2/27 3:00,13.480087280273438
2/27 4:00,16.248382568359375
2/27 5:00,35.8673095703125
2/27 6:00,35.790618896484375
2/27 7:00,39.46171569824219
2/27 8:00,53.857452392578125
2/27 9:00,40.0008544921875
2/27 10:00,25.584564208984375
2/27 11:00,19.70855712890625
2/27 12:00,25.00379180908203
2/27 13:00,11.055984497070312
2/27 14:00,4.529914855957031
2/27 15:00,5.8580780029296875
2/27 16:00,0.24687957763671875
2/27 17:00,1.0611190795898438
2/27 18:00,3.5782623291015625
2/27 19:00,6.734294891357422
2/27 20:00,7.5989990234375
